Name,Position,School ▲,HT,WT,Hands,Arms,Wingspan,40,Bench,3-Cone,Shuttle,Vertical,Broad
Quardraiz Wadley,RB,UTEP,5105,207,858.0,3148.0,7678.0,4.76,--,7.34,4.35,36.0,0904
Justin Garrett,WR,UTEP,5106,191,958.0,3100.0,7628.0,4.81,13,7.35,4.36,36.5,1004
Bobby DeHaro,IOL,UTEP,6030,310,858.0,3318.0,7938.0,5.14,28,7.75,4.84,26.0,0806
Darta Lee,IOL,UTEP,6034,313,1000.0,3378.0,8148.0,5.45,25,8.42,5.03,25.0,0705
Josh Caldwell,CB,UTEP,5100,172,828.0,3148.0,7378.0,4.72,15,--,4.40,34.5,0911
Walter Neil Jr.,CB,UTEP,5087,178,758.0,2918.0,7128.0,4.49,14,6.90,4.10,37.5,0905
Dy'Vonne Inyang,S,UTEP,6001,177,938.0,3048.0,7228.0,4.65,--,7.28,4.20,31.5,0906
BJ Daniels,RB,UTSA,6006,206,948.0,3200.0,7758.0,4.72,--,7.52,4.58,33.0,0910
Sincere McCormick,RB,UTSA,5084,205,918.0,3000.0,7368.0,4.61,21,7.14,4.41,32.0,0908
Myles Benning,TE,UTSA,5107,248,968.0,3168.0,7400.0,5.02,19,7.96,4.68,27.5,0809
Leroy Watson,TE,UTSA,6045,270,1038.0,3500.0,8358.0,4.91,18,7.46,4.75,33.5,--
Spencer Burford,OT,UTSA,6041,301,948.0,3468.0,8238.0,--,25,--,4.86,29.0,0811
Jaylon Haynes,IDL,UTSA,6012,291,938.0,3148.0,7568.0,--,22,--,--,25.0,--
Lorenzo Dantzler,EDGE,UTSA,6007,232,878.0,3258.0,7718.0,4.76,21,7.89,4.58,29.0,0908
Charles Wiley,EDGE,UTSA,6021,251,918.0,3278.0,7858.0,4.53,27,7.61,4.47,33.5,0911
Denzel Feaster,LB,UTSA,6013,226,928.0,3138.0,7378.0,4.91,20,7.90,4.76,25.0,0907
Clarence Hicks,LB,UTSA,6017,225,928.0,3348.0,7758.0,4.50,22,7.40,4.56,32.0,1002
Tariq Woolen,CB,UTSA,6041,205,918.0,3400.0,7918.0,--,12,7.10,4.30,--,1011
Hunter Duplessis,K,UTSA,5084,204,900.0,2900.0,6818.0,--,25,--,--,--,--
Lioundre Gallimore,WR,Valdosta State,5085,185,800.0,3078.0,7428.0,4.42,11,7.47,4.57,32.0,1005
Brian Saunds,WR,Valdosta State,5090,183,900.0,2900.0,6948.0,4.78,12,6.96,4.47,30.0,0903
Ralph Singleton,IOL,Valdosta State,6033,261,1028.0,3428.0,8048.0,4.81,24,7.69,4.69,28.0,0903
Jadavien Williams,IDL,Valdosta State,6013,250,868.0,3248.0,7728.0,5.04,14,7.84,4.83,28.0,0810
Nick Moss,LB,Valdosta State,5105,220,958.0,3158.0,7528.0,4.85,19,7.68,4.76,31.5,1001
Cory Roberts,LB,Valdosta State,5107,210,968.0,3118.0,7200.0,4.79,16,7.22,4.44,31.5,0911
Christian Matthew,CB,Valdosta State,6022,195,1000.0,3348.0,8048.0,4.50,--,7.22,4.19,41.5,1007
Robert Washington,RB,Valparaiso,5100,200,,,,4.70,19,7.07,4.52,34.0,0906
Tyrell Alexander,WR,Vanderbilt,6011,183,868.0,3078.0,7338.0,4.64,11,7.41,4.51,33.5,1007
Chris Pierce Jr.,WR,Vanderbilt,6033,227,938.0,3358.0,8068.0,4.65,21,7.45,4.45,34.5,1003
Allan George,CB,Vanderbilt,5112.0,191.0,0900,3268,8048,4.50,15,7.04,4.34,40.5,1104
Daniel Smith,QB,Villanova,5112.0,199.0,0938,2948,7248,4.97,--,7.32,4.40,32.5,0904
Justin Covington,RB,Villanova,5104.0,210.0,0838,2838,6800,4.61,18,7.13,4.16,35.0,1003
Todd Summers,TE,Villanova,6050.0,253.0,0938,3100,7638,4.94,15,7.30,4.46,30.0,0900
Kofi Appiah,OT,Villanova,6066.0,314.0,0868,3558,8338,--,--,--,--,--,--
MJ Dumas,IOL,Villanova,6031.0,306.0,1058,3278,8148,5.37,23,7.56,4.56,25.5,0801
Peter Fallon,IDL,Villanova,6026.0,289.0,0928,3178,7828,5.26,22,7.72,4.58,29.5,0902
Malik Fisher,EDGE,Villanova,6034.0,262.0,0948,3268,7878,--,--,--,--,--,--
Amin Black,LB,Villanova,5090.0,236.0,0900,2918,7338,4.96,21,7.27,4.46,28.5,0902
Forrest Rhyne,LB,Villanova,6013.0,233.0,0838,3000,7428,4.69,26,7.26,4.20,32.5,0910
Christian Benford,CB,Villanova,6004.0,208.0,0968,3100,7468,4.53,17,7.10,4.34,35.0,1004
Denzel Williams,CB,Villanova,5101.0,180.0,0900,3028,7558,4.45,7,6.94,4.33,36.5,1006
Nowoola Awopetu,S,Villanova,5112.0,197.0,0848,3038,7548,4.58,13,6.76,4.37,33.5,1004
Devin Darrington,RB,Virginia,5086.0,215.0,--,--,--,4.73,23,--,--,37.0,1007
Artie Henry,WR,Virginia,5113.0,178.0,0938,3048,7438,4.73,11,6.97,4.30,32.5,0911
Ra'Shaun Henry,WR,Virginia,6015.0,185.0,0948,3138,7500,4.46,15,6.70,4.26,38.5,1010
Jelani Woods,TE,Virginia,6071.0,252.0,0948,3448,8268,--,--,6.95,4.33,37.5,1009
Ryan Nelson,OT,Virginia,6052.0,324.0,1018,3278,8168,5.66,24,8.03,4.90,26.5,0806
Chris Glaser,IOL,Virginia,6040.0,306.0,1028,3200,7800,5.21,29,7.37,4.64,27.5,--
Mandy Alonso,IDL,Virginia,6017.0,285.0,0968,3058,7538,--,33,--,--,--,--
Elliott Brown,EDGE,Virginia,6050.0,232.0,0968,3348,8158,4.59,23,--,--,37.0,1006
Joe Comer,CB,Virginia,5106.0,177.0,0968,3100,7600,4.69,9,6.88,4.26,34.0,1004
Nick Grant,CB,Virginia,6007.0,190.0,0938,3118,7628,4.72,19,7.06,4.28,33.0,1003
Joey Blount,S,Virginia,6010.0,201.0,0938,3068,7500,4.45,20,6.90,4.33,38.0,1007
De'Vante Cross,S,Virginia,6003.0,216.0,0918,3368,7648,--,14,--,--,--,--
Jacob Finn,P,Virginia,6034.0,205.0,1000,3128,7648,--,--,--,--,--,--
Will Adams,S,Virginia State,6007.0,186.0,0948,3218,7718,4.68,--,6.74,4.22,--,--
Changa Hodge,WR,Virginia Tech,6004.0,196.0,0928,3228,7878,4.51,16,7.19,4.47,33.5,0902
Raheem Blackshear,RB,Virginia Tech,5093.0,194.0,0878,3000,7078,4.53,11,6.84,4.22,33.5,0904
Tre Turner,WR,Virginia Tech,6013.0,184.0,0848,3068,7428,--,--,7.06,4.51,31.5,0811
James Mitchell,TE,Virginia Tech,6040.0,248.0,0978,3300,7848,--,18,--,--,--,--
Luke Tenuta,OT,Virginia Tech,6080.0,314.0,1018,3278,7968,5.28,19,7.75,--,32.0,0900
Brock Hoffman,IOL,Virginia Tech,6034.0,302.0,1058,3328,8118,5.49,20,7.75,4.62,28.0,0710
Lecitus Smith,IOL,Virginia Tech,6033.0,313.0,0958,3178,7948,--,25,--,--,25.5,0802
Jordan Williams,IDL,Virginia Tech,6043.0,291.0,1018,3348,8048,5.12,21,7.71,4.72,31.5,0900
Amare Barno,EDGE,Virginia Tech,6045.0,247.0,0900,3400,8148,--,18,--,--,--,--
Keondre Ko,CB,Virginia Tech,5112.0,190.0,0848,3028,7338,4.53,13,6.94,4.35,34.5,1002
Jermaine Waller,CB,Virginia Tech,6003.0,180.0,0900,3118,7368,--,14,6.97,4.37,35.0,1002
Tae Daley,S,Virginia Tech,5107.0,201.0,0838,3228,7738,4.65,12,7.22,4.21,33.0,0903
John Parker Romo,K,Virginia Tech,5111.0,176.0,0838,2938,7238,--,--,--,--,--,--
Oscar Shadley,LS,Virginia Tech,5117.0,266.0,1000,3000,7400,5.27,18,7.94,4.85,22.0,0703
Devin Heckstall,WR,Virginia Wise,6046.0,214.0,1018,3648,8248,4.62,9,7.05,4.47,37.0,1005
Messiah Divine,RB,Wagner,5084.0,210.0,0968,2938,7048,4.80,23,7.38,4.63,30.5,0902
Joe Schmidt,WR,Wagner,5101.0,190.0,0868,2848,6928,4.75,16,7.00,4.30,29.0,0908
Macai Bruce,IDL,Wagner,5114.0,276.0,1000,3048,7318,5.44,20,7.97,4.62,25.0,0802
Ahmad Lyons,S,Wagner,5083.0,181.0,0918,2928,7100,4.77,11,7.25,4.50,31.0,0903
Jaquarii Roberson,WR,Wake Forest,,,,,,4.43,,6.88,4.18,40.0,1011
Luiji Vilain,EDGE,Wake Forest,6040.0,255.0,,,,4.75,21,7.01,4.25,35.0,0910
Luke Masterson,LB,Wake Forest,6020.0,234.0,0928,,7600,4.65,,7.00,,34.5,
Jace Williams,TE,Washburn,6045.0,216.0,0968,3428,8058,4.87,4,7.01,4.56,--,0908
Marquise Manning,CB,Washburn,5102.0,191.0,868.0,3028.0,6878.0,4.51,12,7.40,4.36,--,0910
Patrick O'Brien,QB,Washington,6043.0,220.0,1000.0,3168.0,7718.0,5.06,--,7.55,4.58,30.5,0903
Sean McGrew,RB,Washington,5065.0,176.0,900.0,2848.0,6938.0,4.75,--,7.06,4.26,30.5,0902
Kamari Pleasant,RB,Washington,,,,,,4.96,,,,25.0,
Cade Otton,TE,Washington,6050.0,245.0,948.0,3268.0,7948.0,--,17,--,--,--,--
Luke Wattenberg,IOL,Washington,6040.0,306.0,938.0,3418.0,8218.0,--,--,--,--,--,--
Ryan Bowman,EDGE,Washington,6001.0,277.0,918.0,3168.0,7728.0,--,--,7.10,4.44,--,--
Kyler Gordon,CB,Washington,5114.0,198.0,928.0,3118.0,7538.0,--,20,6.67,3.96,39.5,1008
Trent McDuffie,CB,Washington,5106.0,193.0,868.0,2968.0,7300.0,--,15,--,--,38.5,1008
Brendan Radley-Hiles,S,Washington,5077.0,183.0,848.0,3028.0,7400.0,4.64,11,--,--,31.5,0905
Race Porter,P,Washington,6021.0,178.0,848.0,3048.0,7428.0,--,--,--,--,--,--
Andrew Whitaker,CB,Washington (MO),6004.0,183.0,978.0,3148.0,7728.0,4.49,,7.25,4.39,33.5,1004
Jarrett Guarantano,QB,Washington State,6027.0,219.0,1018.0,3418.0,8000.0,4.91,--,7.43,4.58,32.0,0909
Max Borghi,RB,Washington State,5093.0,210.0,918.0,2958.0,7100.0,4.52,--,7.15,4.27,33.5,1003
Deon McIntosh,RB,Washington State,5102.0,197.0,800.0,3100.0,7638.0,4.67,12,7.45,4.65,29.0,0907
Travell Harris,WR,Washington State,5075.0,185.0,818.0,2848.0,6928.0,4.50,14,7.26,4.52,33.5,0909
Calvin Jackson Jr.,WR,Washington State,5087.0,193.0,918.0,2968.0,7218.0,4.53,13,7.23,4.26,36.0,1004
Abraham Lucas,OT,Washington State,6063.0,316.0,1048.0,3400.0,8238.0,--,--,--,--,29.0,0905
Liam Ryan,OT,Washington State,6047.0,305.0,900.0,3178.0,7718.0,--,23,--,--,--,--
Jahad Woods,LB,Washington State,5096.0,217.0,900.0,3048.0,7518.0,4.66,20,7.31,4.46,33.5,1000
Jaylen Watson,CB,Washington State,6020.0,195.0,958.0,3228.0,7668.0,4.49,--,7.15,4.22,38.0,1100
George Hicks III,S,Washington State,5107.0,189.0,958.0,3168.0,7500.0,4.63,13,7.15,4.27,31.0,1003
Tyrone Hill Jr.,S,Washington State,6005.0,206.0,848.0,3168.0,7700.0,4.51,14,7.03,4.21,36.0,1004
Daniel Isom,S,Washington State,5100.0,191.0,900.0,3000.0,7300.0,--,12,--,--,--,--
Tre Ford,QB,Waterloo,5113.0,197.0,918.0,3000.0,7248.0,4.49,--,7.50,4.49,36.0,1004
Tyrell Ford,CB,Waterloo,5106.0,191.0,878.0,3000.0,7148.0,4.44,17,7.38,4.37,36.5,1006
Landin Mitchell,IOL,Wayne State,6031.0,301.0,948.0,3228.0,7868.0,5.40,26,7.78,4.93,30.0,0803
Randal Grimes,WR,Weber State,6032.0,215.0,878.0,3248.0,7868.0,4.72,6,7.44,4.40,31.5,1000
Ben Bos,IOL,Weber State,6024.0,298.0,868.0,3168.0,7778.0,5.38,23,7.78,4.63,31.0,0810
Dave Jones,CB,Weber State,5100.0,180.0,848.0,2948.0,7200.0,4.62,11,7.00,4.30,35.5,0911
Bayley Blanchard,WR,West Alabama,6000.0,215.0,928.0,3028.0,7348.0,4.85,11,7.45,4.65,28.5,0811
Tyriq Martin,WR,West Alabama,6021.0,192.0,968.0,3178.0,7638.0,4.63,5,7.47,--,29.5,0906
Sedevyn Gray,CB,West Alabama,5114.0,176.0,858.0,3018.0,7258.0,4.76,5,7.72,4.38,32.5,1003
Chris Terrell,EDGE,West Alabama,6012.0,265.0,918.0,3218.0,7800.0,5.15,20,7.97,4.96,27.0,0811
Rasheem James,WR,West Chester,5100.0,152.0,,,,4.69,,,,35.0,1001
Rodney Coates,WR,West Florida,,,,,,4.50,,7.10,,,1002
Ka'Ron Ashley,WR,West Florida,6014.0,169.0,918.0,3218.0,7668.0,4.61,5,7.36,4.53,36.0,1010
Kenneth Roman,IOL,West Florida,6043.0,322.0,1038.0,3378.0,8048.0,5.48,27,7.88,4.75,28.0,0806
Matthew Gotel,IDL,West Florida,6016.0,341.0,968.0,3238.0,7818.0,5.34,32,7.83,4.75,27.0,0806
Myles Meyer,IDL,West Florida,6004.0,300.0,1000.0,3358.0,8168.0,5.24,12,7.75,4.75,30.5,0811
Brandon Penerton,IDL,West Florida,5116.0,283.0,1018.0,3238.0,7738.0,5.42,20,8.23,5.13,23.0,0708
DeMarco Artis,EDGE,West Florida,6016.0,229.0,878.0,3278.0,7778.0,4.76,22,7.36,4.53,34.0,0906
Marcus Clayton,CB,West Florida,5101.0,168.0,838.0,2878.0,6448.0,4.58,--,7.60,4.64,30.0,0903
Shahman Moore,CB,West Florida,6013.0,178.0,968.0,3038.0,7448.0,4.72,--,7.75,4.52,30.5,0909
D'Anthony Bell,S,West Florida,6005.0,211.0,900.0,3218.0,7500.0,4.51,18,6.94,4.27,36.0,1009
Danny Laudet,K,West Florida,6021.0,220.0,848.0,3278.0,7548.0,--,--,--,--,--,--
Jonathan Sullivan,LS,West Florida,5115.0,225.0,838.0,3048.0,7418.0,5.20,11,7.77,4.74,24.0,0806
Quan Harrison,WR,West Georgia,5085.0,191.0,938.0,3118.0,7300.0,4.59,--,7.50,4.18,33.0,1008
Raekwon Chatman,S,West Georgia,5115.0,186.0,900.0,3238.0,7238.0,4.49,12,7.56,4.44,34.0,0909
Isaiah Miranda,TE,West Georgia,6004.0,229.0,878.0,3128.0,7728.0,5.14,17,--,4.47,29.0,0904
Javon Jackson,S,West Georgia,5092.0,183.0,938.0,3000,7278.0,4.51,11,6.91,4.33,34.5,1001
Leddie Brown,RB,West Virginia,6001.0,215.0,1000.0,3158,7638.0,--,18,7.10,4.26,36.5,--
Alonzo Addae,S,West Virginia,5103.0,184.0,918.0,3000,7048.0,4.60,8,7.08,4.25,34.0,0908
Sean Mahone,S,West Virginia,5111.0,203.0,968.0,3128,7400.0,4.61,13,7.09,4.31,32.0,0908
Scottie Young,S,West Virginia,5104.0,199.0,900.0,3038,7448.0,4.71,14,7.15,4.37,31.0,0902
Evan Staley,K,West Virginia,6007.0,196.0,900.0,2938,7278.0,--,--,--,--,--,--
Tyler Sumpter,P,West Virginia,5092.0,220.0,868.0,3000,7378.0,--,--,--,--,--,--
Deionte Knight,EDGE,Western (CAN),6031.0,280.0,968.0,3100,7458.0,5.14,12,8.03,4.77,26.0,0900
Dennis Houston,WR,Western Illinois,6011.0,198.0,858.0,3158,7548.0,4.49,19,7.17,4.35,39.0,1004
Connor Sampson,QB,Western Illinois,6031.0,211.0,968.0,3228,7538.0,--,--,--,--,--,--
Myles Wanza,RB,Western Illinois,5070.0,183.0,900.0,2958,6928.0,4.65,19,--,4.09,39.0,1000
Daniel Bender,WR,Western Illinois,5073.0,170.0,838.0,2968,7000.0,--,14,--,--,33.5,0903
Draysean Hudson,WR,Western Illinois,5106.0,163.0,818.0,2958,7018.0,4.49,4,--,4.38,37.0,1006
Tony Tate,WR,Western Illinois,5077.0,176.0,928.0,2978,7048.0,--,--,--,4.32,--,--
Will Waddell,IOL,Western Illinois,6004.0,309.0,978.0,3218,7600.0,5.59,24,--,5.14,22.5,0609
Brandon Arnold,IDL,Western Illinois,6011.0,279.0,1000.0,3258,7748.0,5.12,28,--,4.55,--,0808
Michael Lawson,S,Western Illinois,5082.0,185.0,900.0,2978,7368.0,4.64,15,--,4.23,34.5,0906
Jalen Powe,S,Western Illinois,5106.0,212.0,968.0,3178,7578.0,4.65,17,--,4.55,35.0,0909
Aaron Adu,CB,Western Illinois,5090.0,185.0,,,,4.75,16,,,39.5,0906
Jerreth Sterns,WR,Western Kentucky,,,,,,4.49,,,4.14,40.0,
DeAngelo Malone,EDGE,Western Kentucky,6030.0,239.0,,,,4.55,,7.04,4.34,35.5,0911
Antwon Kincade,S,Western Kentucky,,,,,,4.60,12,7.06,4.28,,
Kaleb Eleby,QB,Western Michigan,6006.0,206.0,938.0,3100,7568.0,4.91,--,--,4.65,--,--
Jaxson Kincaide,RB,Western Michigan,5074.0,186.0,868.0,2738,6600.0,4.67,21,7.20,4.38,32.0,0905
Skyy Moore,WR,Western Michigan,5096.0,191.0,1028.0,3128,7448.0,--,15,--,--,--,--
Bryce Nunnelly,WR,Western Michigan,6003.0,189.0,918.0,3078,7248.0,4.53,14,6.97,4.27,33.5,1004
Brett Borske,TE,Western Michigan,6061.0,265.0,948.0,3418,8218.0,4.83,28,7.40,4.53,--,--
Mark Brooks,OT,Western Michigan,6057.0,304.0,968.0,3238,7868.0,5.40,25,7.64,4.66,29.0,0810
Mike Caliendo,IOL,Western Michigan,6040.0,301.0,948.0,3078,7700.0,5.36,--,7.68,4.72,28.5,0809
Wesley French,IOL,Western Michigan,6047.0,307.0,1018.0,3348,8168.0,5.19,28,7.28,4.62,29.0,0902
Kainoa Fuiava,IDL,Western Michigan,6027.0,316.0,958.0,,8048.0,,,,,,
Ralph Holley,IDL,Western Michigan,6006.0,297.0,918.0,3200,7738.0,4.99,24,7.53,4.67,30.0,0810
Ali Fayad,EDGE,Western Michigan,6015.0,248.0,978.0,3200,7748.0,4.89,28,7.31,4.57,32.5,0904
AJ Thomas,LB,Western Michigan,6020.0,214.0,958.0,3348,7918.0,4.60,13,7.03,4.26,33.0,1001
Therran Coleman,CB,Western Michigan,5114.0,195.0,958.0,3148,7548.0,--,17,--,--,--,--
Mark Jackson,EDGE,Western New Mexico,6015.0,245.0,918.0,3328,8028.0,5.06,15,7.59,4.70,31.5,0907
Spencer Peterson,TE,Wheaton,,,,,,,,,,,
James Gillespie,WR,Widener,6005.0,204.0,928.0,3058,7600.0,5.02,12,7.38,4.56,23.0,0805
Tyler Crist,FB,William & Mary,6001.0,242.0,938.0,3058,7558.0,4.76,19,7.30,4.76,32.0,0906
Will Kiely,IDL,William & Mary,6025.0,274.0,938.0,,7648.0,5.25,,7.40,4.59,26.0,0900
McLean Robertson,K,Wingate,5097.0,216.0,858.0,3028,7200.0,--,--,--,--,--,--
John Chenal,FB,Wisconsin,6024.0,254.0,958.0,2948,7458.0,4.89,29,7.16,4.43,37.0,0910
Danny Davis III,WR,Wisconsin,6003.0,188.0,948.0,--,7228.0,4.62,--,7.18,4.41,31.5,--
Kendric Pryor,WR,Wisconsin,5104.0,183.0,928.0,3068,7358.0,4.56,11,6.96,4.29,38.5,1011
Jake Ferguson,TE,Wisconsin,6046.0,245.0,948.0,3048,7800.0,4.77,--,--,--,34.5,--
Logan Bruss,OT,Wisconsin,6050.0,308.0,1100.0,3318,7968.0,--,--,--,--,--,--
Josh Seltzner,IOL,Wisconsin,6045.0,309.0,968.0,3248,7800.0,5.27,26,7.65,4.69,31.0,0905
Matt Henningsen,IDL,Wisconsin,6033.0,289.0,938.0,3318,8218.0,--,22,7.19,4.29,37.5,0911
Noah Burks,EDGE,Wisconsin,6023.0,235.0,958.0,3200,7668.0,4.82,14,7.20,4.25,32.0,0907
Leo Chenal,LB,Wisconsin,6025.0,250.0,968.0,3100,7548.0,--,34,6.98,4.24,--,--
Jack Sanborn,LB,Wisconsin,6014,239,0958,3448,7418,--,--,6.96,4.34,--,--
Faion Hicks,CB,Wisconsin,5100,189,0958,3058,7348,4.49,13,6.90,4.21,37.5,1003
Caesar Williams,CB,Wisconsin,6001,190,0968,3158,7548,4.67,--,7.00,4.26,32.5,0908
Scott Nelson,S,Wisconsin,6020,203,0900,3068,7300,4.49,14,6.80,4.14,39.5,1006
Collin Wilder,S,Wisconsin,5103,195,0868,3018,7048,4.69,11,6.88,4.43,34.0,0908
Collin Larsh,K,Wisconsin,5101,195,0918,3000,7118,--,--,--,--,--,--
Justin Kasuboski,TE,Wisconsin Oshkosh,6033,252,0968,3128,7628,5.04,16,7.17,4.70,34.0,0904
Ben Beise,TE,Wisconsin River Falls,6027,247,1028,3200,7618,4.74,24,7.01,4.43,36.0,1000
Max Meylor,QB,Wisconsin Whitewater,6026,216,0900,3200,7848,--,--,7.49,4.61,33.5,0905
Derek Kumerow,WR,Wisconsin Whitewater,6017,203,0900,3068,7300,4.89,8,7.05,4.34,29.0,0903
Ryan Wisniewski,WR,Wisconsin Whitewater,6030,210,--,--,--,--,--,--,--,--,--
Mackenzie Balanganayi,EDGE,Wisconsin Whitewater,6017,234,0928,3338,7868,5.08,19,7.56,4.90,35.0,0902
Joe Beckett,LB,Wofford,6012,237,0900,3138,7518,4.56,23,7.41,4.53,36.5,1000
Donavan Anderson,CB,Wofford,5105,184,0878,3018,7278,4.66,12,7.58,4.39,35.5,1000
Trey Smith,RB,Wyoming,6000,210,0868,3100,7638,4.76,20,7.02,4.61,30.5,0907
Ayden Eberhardt,WR,Wyoming,6012,189,0928,3028,7400,--,--,--,--,--,--
Keegan Cryder,IOL,Wyoming,6044,306,0968,3318,8078,--,--,--,--,--,--
Logan Harris,IOL,Wyoming,6024,311,0918,3158,7648,5.31,25,8.02,5.02,26.0,0803
Garrett Crall,EDGE,Wyoming,6041,239,0938,3448,7958,4.71,16,7.26,4.55,31.5,0911
Chad Muma,LB,Wyoming,6026,237,1000,3158,7700,--,--,6.90,4.21,--,--
Esaias Gandy,S,Wyoming,5110,198,0968,3118,7538,4.82,15,7.09,4.44,33.0,1001
Rodney Thomas,S,Yale,6016,196,,,,4.50,13,7.02,4.02,41.0,1007
Andrew Ogletree,TE,Youngstown State,6053,260,0968,3228,8158,4.76,26,7.31,4.52,35.0,1001
Henry Yoboue,OT,Youngstown State,6074,328,,3600,8500,,22,,,,
